FID,objectid_1,objectid,facility_n,begin,end,facility_c,status,route_id,bpp_2005,local_plan,jurisdicti,st,note,miles,priority,yr_constr,i269,blvd,divided,fund_sourc,shape_leng,shape_le_1,Shape__Length
1,1356,1477,Fields Rd,Sewanee,Hicky,Bike Lane,Existing,,,2014PW,Memphis,TN,,0.871370130509,,2014,,,,Local,4600.83428908,4600.83428908,1711.01535065748
2,1358,1479,Exchange Ave,Third,Danny Thomas,Bike Lane,Existing,,,2016PW-2021CIP,Memphis,TN,,0.318480744432,,0,,,,Local,1681.5783306,1681.5783306,626.640307331242
3,1359,1480,Exchange Ave,Main,Third,Bike Lane,Existing,,,2016PW-2021CIP,Memphis,TN,,0.147507942322,,0,,,,Local,778.841935462,778.841935462,290.174804157853
4,1360,1481,Adams Ave,Third,Danny Thomas,Bike Lane,Existing,,,2015CIP,Memphis,TN,,0.32993085936,,2015,,,,Local,1742.03493742,1742.03493742,649.13437400896
5,1361,1482,Adams Ave,Front,Third,Marked Shared Roadway,Existing,,,2015CIP,Memphis,TN,,0.226776040436,,2015,,,,Local,1197.3774935,1197.3774935,446.037888214538
6,1362,1485,Duke Rd,Chelsea,Bayliss,Marked Shared Roadway,Existing,,,2014PW,Memphis,TN,,0.586501776509,,2014,,,,Local,3096.72937997,3096.72937997,1158.16466776893
7,1363,1486,Bayliss Ave,Graham,Wells Station,Marked Shared Roadway,Existing,,,2015PW,Memphis,TN,,0.517813017926,,2015,,,,Local,2734.05273465,2734.05273465,1018.3164100903
8,1366,1490,Highland St,Scenic,James,Bike Lane,Existing,,,2014PW,Memphis,TN,,0.322976612124,,2014,,,,Local,1705.31651202,1705.31651202,638.248675768763
9,1367,1492,Pauline St,Poplar,Union,Bike Lane,Existing,,,2016CIP,Memphis,TN,,0.576125735321,,2016,,,,Local,3041.94388249,3041.94388249,1136.68712806189
10,1368,1493,Orchi Rd,Chelsea,Longfellow,Marked Shared Roadway,Existing,,,2014PW,Memphis,TN,,0.153320776665,,2014,,,,Local,809.533700792,809.533700792,302.1221394413
11,1369,1494,Chelsea Ave,Ruskin,Graham,Bike Lane,Existing,MEM 40; MEM 60,,2003Routes; 2014PW,Memphis,TN,,0.516534803765,,2014,,,,Local,2727.30376388,2727.30376388,1016.4278342597
12,1371,1496,"Dr. MLK, Jr. Ave",Manassas,Linden,Cycle Track,Existing,,,2016PW,Memphis,TN,,0.425785326832,,2019,,,,Local,2248.14652567,2248.14652567,837.086021048501
13,1372,1497,Milton Wilson Blvd,Forrest,Chester,Signed Shared Roadway,Existing,,,,Arlington,TN,,1.56231530621,,2013,,,,,8249.02481681,8249.02481681,3089.57013049331
14,1373,1498,Aubrey Ranch Greenway N,Black Gold,Dusty Field,Shared Use Path,Existing,,,,Arlington,TN,,0.167370269176,,2013,,,,,883.715021252,883.715021252,330.812825602868
15,1374,1499,Aubrey Ranch Dr,Dusty Field,Longhorn,Shared Use Path,Existing,,,,Arlington,TN,,0.127855781384,,2013,,,,,675.07852571,675.07852571,252.784092865937
16,1375,1500,Forrest Street Greenway,Depot,West of Griffin,Shared Use Path,Existing,,,,Arlington,TN,,0.161789666767,,2012,,,,,854.249440528,854.249440528,318.772910476004
17,1379,1504,Annandale Dr,Holmes,State Line,Bike Lane,Existing,,,,Shelby Co,TN,,0.79845389977,,2013,,,,,4215.83659078,4215.83659078,1573.67215651328
18,1380,1505,Forest Hill Irene Rd,Walnut Grove,River Meadow,Paved Shoulder,Existing,,,,Shelby Co,TN,,1.31236313099,,2013,,,,,6929.27733161,6929.27733161,2590.03397431421
19,1381,1506,Houston Levee Rd,Glen Lakes,Sutton Ridge,Signed Shared Roadway,Existing,,,Shelby Co,Shelby Co,,,0.784863172582,,2013,,,,,4144.07755123,4144.07755123,1548.87979159324
20,1382,1507,Lowrance Rd,Long Creek,Stansell,Bike Lane,Existing,,,,Shelby Co,TN,,0.490904467396,,2013,,,,,2591.97558785,2591.97558785,963.765316380297
21,1383,1508,Long Creek Rd,Autumn Harvest,Lowrance,Bike Lane,Existing,,,,Shelby Co,TN,NEED TO VERIFY FACILITY IN FIELD,0.529056318769,,2013,,,,,2793.4173631,2793.4173631,1042.65341757281
22,1395,1523,Fields Rd,Hicky,Weaver,Paved Shoulder,Existing,,,2014PW,Memphis,TN,,0.286010018433,,2014,,,,Local,1510.13289732,1510.13289732,561.607220299912
23,1396,1524,Fields Rd,Boxtown,Sewanee,Paved Shoulder,Existing,,,2014PW,Memphis,TN,,0.480949345093,,2014,,,,Local,2539.41254209,2539.41254209,944.394139396556
24,1398,1526,Bass Pro Dr,I-40,Riverside,Bike Lane,Existing,,,,Memphis,TN,,0.27043303185,,2015,,,,,1427.88640817,1427.88640817,533.64810433534
25,1400,1529,McLean Blvd,James,Nedra,Cycle Track,Existing,MEM 20; MEM 40; WRG 5b,,WRG,Memphis,TN,2003Routes,1.20065676059,,2020,,,,Private,6339.46769594,6339.46769594,2371.75787916216
26,1401,1530,Broad Ave,Tillman,Holmes,Cycle Track,Existing,HAMPLINE,,2014PW,Memphis,TN,,0.574804713652,,2014,,,,Local,3034.96888808,3034.96888808,1130.29904839354
27,1402,1531,Tillman St,Summer (US-70),Broad,Marked Shared Roadway,Existing,HAMPLINE,,2014PW,Memphis,TN,,0.15023268774,,2014,,,,Local,793.228591266,793.228591266,296.690106511015
28,1405,1559,Berryhill Rd,Oak Springs,Forest Hill-Irene,Bike Lane,Existing,,,2011PW,Memphis,TN,,0.517024647827,,2011,,,,Local,2729.89014053,2729.89014053,1019.48496982625
29,1406,1560,Covington Pike (TN-204),Austin Peay,Raleigh Lagrange,Bike Lane,Existing,,Vision,2014TDOT,Memphis,TN,,2.9553282598,Secondary,2014,N,,,TDOT,15604.1332118,15604.1332118,5839.91144180408
30,1408,1562,Marshall St,Madison,Union,Bike Lane,Existing,,,MEMfix,Memphis,TN,,0.296473059567,,2014,,,,Local,1565.37775451,1565.37775451,584.217866525464
